Code,Product Description,Vertical,Division,Franchise,Brand
300101684,SENSIMUNE 12 SQ-HDM Tab 1x10s,Acute_1,Grandera,Sensimune,Sensimune
300040124,Evenity Inj 105 mg/1.17 ml 2's,Chronic,Osteozen,Evenity,Evenity
300031051,Kidrich-D3 60000IU 4x5 ml,Acute_1,Wintura,Kidrich,Kidrich
300041113,VENUSIA UREKA Cream 100 gm Sales,Acute_2,Derma Max,Venusia,Venusia Ureka
300041544,VENUSIA SUN MINERAL 50g 1's,Acute_2,Derma_B,Venusia,Venusia Sunscreen
300041550,VENUSIA SUN TINT 50g 1's,Acute_2,Derma_B,Venusia,Venusia Sunscreen
300041555,VENUSIA SUN AQUA 50mL 1's,Acute_2,Derma_B,Venusia,Venusia Sunscreen
300100955,MINTOP TAB 2.5 mg 3x10's,Acute_2,Derma_A,Mintop,Mintop
300041221,Rozat CV20 Capsules 20/75mg 15's,Chronic,Zenura,Rozat,Rozat CV
300100954,ROZAT EZ10 Tablets 10mg 10's,Chronic,Zenura,Rozat,Rozat EZ
300100956,ROZAT EZ20 Tablets 20mg 10's,Chronic,Zenura,Rozat,Rozat EZ
300040128,Venusia CeraPlus Cream 100 g,Acute_2,Derma Max,Venusia,Venusia Pro
300040129,Venusia CeraPlus Lotion 100 g,Acute_2,Derma Max,Venusia,Venusia Ceraplus
300041547,Glimy DM1 Forte Tabs 10+1+1000mg 10's,Chronic,Optimus,Glimy,Glimy Dm Forte
300041548,Glimy DM2 Forte Tabs 10+2+1000mg 10's,Chronic,Optimus,Glimy,Glimy Dm Forte
300041551,CLARIT Dry Syrup 250mg 30ml,Acute_2,Orion,Clarit,Clarit syrup
300041552,CLARIT Dry Syrup 125mg 30ml,Acute_2,Orion,Clarit,Clarit syrup
300101067,CLARIT Tablets 500mg 10's,Acute_2,Orion,Clarit,Clarit tab
300101070,CLARIT Tablets 250mg 10's,Acute_2,Orion,Clarit,Clarit tab
300041989,OMEZ REFLUX Chewable Tab 500+100mg 10's,Neuera +,Aqura_SG,Omez,Omez Reflux
300039564,RibaXa Tablet 100mg 10â€™s,Altima,Actus,Ribaxa,Ribaxa
300039565,RibaXa Tablet 150mg 10â€™s,Altima,Actus,Ribaxa,Ribaxa
300101658,Tazzle D Tablets 10/30 mg 4's,Altima,Futura_Max,Tazzle,Tazzle D
300101626,Cheerio Plus Strawberry toothpaste 75g,Acute_2,Recura_Grace,Cheerio Plus,Cheerio Plus
300101629,Cheerio Plus Bubble Fruit toothpaste 75g,Acute_2,Recura_Grace,Cheerio Plus,Cheerio Plus
300101390,Prorespi K12 30s,Acute_1,Wintura,Prorespi,Prorespi
300101891,Lucrush Lotion 1 % w/v 15ml 1's,Acute_1,Aqura_MS,Lucrush,Lucrush Lotion
300041570,BixiBat Tablets 5mg 10â€™s,Acute_1,Recura_Ginova,Bixibat,Bixibat
300041934,IBUCLIN JUNIOR Suspension Orange100ml1's,Radica,R Channel,Ibuclin,Ibuclin
300042033,SILDOO-M 25 Tabs 8/25mg 10's,Altima,Futura_Max,Sildoo,Sildoo M
300042034,SILDOO-M 50 Tabs 8/50mg 10's,Altima,Futura_Max,Sildoo,Sildoo M
300101770,IBUCLIN JUNIORSuspension Strawberry 60ml,Radica,R Channel,Ibuclin,Ibuclin
300041986,Alfoo-T Tablets 10/5mg 10's,Altima,Futura_Leo,Alfoo,Alfoo-T
300102305,Azpyr Suspension 250mg,Acute_1,Wintura,Azpyr,Azpyr
300102306,Azpyr Suspension 125mg,Acute_1,Wintura,Azpyr,Azpyr
300102097,Vegaz Suppository 1g 7's,Acute_1,Recura_Alfa,Vegaz-OD,Vegaz - Od
300041584,Zytorvi Injection 240mg/6ml 1's,Altima,Reaan,Zytorvi,Zytorvi
300102325,Venusia Ceraplus lotion 300g,Acute_2,Derma Max,Venusia,Venusia Ceraplus
300102004,Pneumoguard-13 vaccine 25mg 1's,Neuera +,Vaccines,Pneumoguard,Pneumoguard
300042434,Celehealth MYO 1's Sachet,Acute_1,Aqura_MS,Celehealth,Celehealth
300042433,T-R3 Tablet 15's,Chronic,Opera,T-R3,T-R3
300102580,CURAPROX TOOTHBRUSH CS5460 Ortho Brush,Acute_2,Recura_Ace,Curaprox,Curaprox
300102579,CURAPROX TOOTHBRUSH Surgical CS Brush,Acute_2,Recura_Ace,Curaprox,Curaprox
300102771,Bixify Tablets 5mg 10’s,Acute_1,Recura_Titans,Bixibat,Bixify
300102290,VONO-20 Tablets 10's,Acute_1,Recura_Alfa,Vonoprazan,Vonoprazan
300102829,Vicra 10 Tablets 10mg 10x10's,Chronic,Maximus,Vicra,Vicra
300102828,Vicra 25 Tablets 25mg 10x10's,Chronic,Maximus,Vicra,Vicra
300102812,Vicra M Tablets 12.5+500mg 10x10's,Chronic,Maximus,Vicra,Vicra
300102824,Vicra MF Tablets 12.5+1000mg 10x10's,Chronic,Maximus,Vicra,Vicra
300040133,Rebalanz ORS WHO Orange 200 ml,JV,Rebalanz,Rebalanz,Rebalanz ORS - Genx
300100915,Celevida Biscuits 100g 1â€™s,JV,Nutra,Celevida,Celevida
300101623,Celevida Diafiber 12g 30s,JV,Nutra,Celevida,Celevida Diafiber
300043208,Upadacitinib 15mg Opera,Chronic,Opera,Upadacitinib,Upadacitinib
